"Numeral" "ID" "PRESTADOR" "NIT" "EXPEDIENTES" "COD_DANE" "DPTO" "Municipio de Correspondencia" "SERVICIOS" "REPRESENTANTE LEGAL" "DIRECCION" "CORREO ELECTRONICO" "TELEFONO 1" "TELEFONO 2" "CELULAR" "CLASIFICACION" "AREA DE PRESTACION" "TIPO PRESTADOR" "ORDEN" "NATURALEZA JURIDICA" "CLASE" "FECHA DE INICIO DE ACTIVIDADES" "ACUEDUCTO CAPTACION" "ACUEDUCTO ADUCCION" "ACUEDUCTO TRATAMIENTO" "ACUEDUCTO ALMACENAMIENTO" "ACUEDUCTO CONDUCCION" "ACUEDUCTO DISTRIBUCION" "ACUEDUCTO COMERCIALIZACION" "ALCANTARILLADO RECOLECCION" "ALCANTARILLADO CONDUCCION DE RESIDUOS LIQUIDOS" "ALCANTARILLADO TRATAMIENTO" "ALCANTARILLADO DISPOSICION FINAL" "ALCANTARILLADO COMERCIALIZACION" "ASEO RECOLECCION Y TRANSPORTE" "ASEO BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "ASEO LAVADO DE AREAS PUBLICAS" "ASEO CORTE DE CESPED Y PODA EN ARBOLES EN VIAS Y AREAS PUBLICAS" "ASEO APROVECHAMIENTO" "ASEO DISPOSICION FINAL" "ASEO LIMPIEZA DE PLAYAS" "ASEO TRANSFERENCIA" "ULTIMO TRAMITE RUPS" "MOTIVO" "ESTADO" "EN VIGILANCIA" "OBSERVACIONES" "Municipios Prestacion"
"1" 6 "EMPRESA DE SERVICIOS PUBLICOS DE SOATA" 8000916340 "2019460351700007E" 15753 "BOYACA" "SOATA" "ACUEDUCTO,ALCANTARILLADO,ASEO" "DELGADO RONDON AYDEN ASTRY" "CARRERA 4 No 10-47 PALACIO MUNICIPAL" "emposoataesp@latinmail.com" "7880189" 7881660 3112230716 "HASTA 2500 SUSCRIPTORES" "URBANO" "EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO" "MUNICIPAL" "0" "OFICIAL" "32739" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "0" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "0" "CORTE DE CESPED Y PODA EN ARBOLES EN VIAS Y AREAS PUBLICAS" "0" "DISPOSICION FINAL" "0" "0" "43143" "Actualizacion" "APROBADA" "SI" NA "SOATA"
"2" 7 "UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DE TASCO" 8918561313 "2019460351700008E" 15790 "BOYACA" "TASCO" "ALCANTARILLADO,ASEO" "NELSON JAVIER GARCIA CASTELLANOS" "Centro Parque Principal" "contactenos@tasco-boyaca.gov.co" "7879060" 7879060 3112333716 "HASTA 2500 SUSCRIPTORES" "URBANO" "MUNICIPIO (PRESTACIÓN DIRECTA)" "MUNICIPAL" "0" "OFICIAL" "37024" "0" "0" "0" "0" "0" "0" "0" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "0" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "0" "0" "0" "0" "0" "0" "42291" "Actualizacion" "APROBADA" "SI" NA "TASCO"
"3" 8 "ACUEDUCTO REGIONAL PEÑA NEGRA DE TIBASOSA" 8002439245 "2019460351700009E" 15806 "BOYACA" "TIBASOSA" "ACUEDUCTO" "BECERRA RIANO LUIS GENARO" "VEREDA PENA NEGRA LA Y" "jenymartinezo@yahoo.es" "7610482" 7650117 3153283327 "HASTA 2500 SUSCRIPTORES" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "35531" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43553" "Actualizacion" "CERTIFICADA" "SI" NA "TIBASOSA"
"4" 9 "ASOCIACION DE USUARIOS DEL ACUEDUCTO URBANO DEL MUNICIPIO DE TURMEQUE" 8200037432 "2019460351700010E" 15835 "BOYACA" "TURMEQUE" "ACUEDUCTO" "CANON ALONSO JOSE OTONIEL" "Carrera 1 Calle 1 Centro" "acueductoturmeque@hotmail.com" "7326369" 7326369 0 "HASTA 2500 SUSCRIPTORES" "URBANO Y RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN MUNICIPIO MENOR" "ASOCIACION DE USUARIOS" "PRIVADA" "35570" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "RECOLECCION" "0" "0" "0" "0" "0" "0" "0" "43517" "Actualizacion" "CERTIFICADA" "SI" NA "TURMEQUE"
"5" 20 "UNIDAD ADMINISTRADORA DE SERVICIOS PUBLICOS DE ACUEDUCTO ALCANTARILLADO Y ASEO EN EL MUNICIPIO DE OICATA" 8000261565 "2019460351700011E" 15500 "BOYACA" "OICATA" "ACUEDUCTO,ALCANTARILLADO,ASEO" "FRANKY ARIEL FONSECA SALAMANCA" "Calle 4 No 3-17 Oicata Centro Palacio Municipal" "alcaldia@oicata-boyaca.gov.co" "0" 0 3132013437 "MENOR O IGUAL A 2500 USUARIOS" "URBANO" "MUNICIPIO (PRESTACIÓN DIRECTA)" "MUNICIPAL" "0" "OFICIAL" "36490" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "0" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "LAVADO DE AREAS PUBLICAS" "CORTE DE CESPED Y PODA EN ARBOLES EN VIAS Y AREAS PUBLICAS" "0" "0" "0" "0" "43651" "Actualizacion" "CERTIFICADA" "SI" NA "OICATA"
"6" 27 "ASOCIACION DE SUSCRIPTORES DEL ACUEDUCTO SADACHI DE LA VEREDA SAZA SECTORES SAZA DAITA Y CHITAL DEL MUNICIPIO DE GAMEZA" 9001166669 "2019460351700012E" 15296 "BOYACA" "GAMEZA" "ACUEDUCTO" "LUIS GABRIEL VARGAS SANABRIA" "Calle 3A No 3 - 44" "alcaldia@gameza-boyaca.gov.co" "7778107" 7778107 3163740811 "MENOR O IGUAL A 2500 USUARIOS" "RURAL" "ORGANIZACION AUTORIZADA" "PRESTADOR EN AREA RURAL" "ASOCIACION DE USUARIOS" "PRIVADA" "39001" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "43636" "Actualizacion" "CERTIFICADA" "SI" NA "GAMEZA"
"7" 28 "DEPENDENCIA EMPRESA DE SERVICIOS PUBLICOS DE GUATEQUE" 8000136839 "2019460351700013E" 15322 "BOYACA" "GUATEQUE" "ACUEDUCTO,ALCANTARILLADO,ASEO" "EDWIN CRISANTO BOHORQUEZ MORA" "Carrera 6 No 9 - 60" "alcaldia@guateque-boyaca.gov.co" "7540321" 7540321 0 "DESDE 2501 HASTA 5000 USUARIOS" "URBANO" "MUNICIPIO (PRESTACIÓN DIRECTA)" "MUNICIPAL" "0" "OFICIAL" "35388" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "0" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION Y TRANSPORTE DE RESIDUOS NO APROVECHABLES" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "LAVADO DE AREAS PUBLICAS" "CORTE DE CESPED Y PODA EN ARBOLES EN VIAS Y AREAS PUBLICAS" "0" "0" "0" "0" "43575" "Actualizacion" "CERTIFICADA" "SI" NA "GUATEQUE"
"8" 39 "JUNTA DE SERVICIOS PUBLICOS DEL MUNICIPIO DE CHITA BOYACA" 8918019620 "2019460351700014E" 15183 "BOYACA" "CHITA" "ACUEDUCTO,ALCANTARILLADO,ASEO" "YAMIT ARIEL AVILA NINO" "Palacio Municipal" "contactenos@chita-boyaca.gov.co" "7892158" 7892158 3144112878 "HASTA 2500 SUSCRIPTORES" "URBANO" "MUNICIPIO (PRESTACIÓN DIRECTA)" "MUNICIPAL" "0" "OFICIAL" "36030" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "0" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "LAVADO DE AREAS PUBLICAS" "CORTE DE CESPED Y PODA EN ARBOLES EN VIAS Y AREAS PUBLICAS" "0" "DISPOSICION FINAL" "0" "0" "43656" "Actualizacion" "CERTIFICADA" "SI" NA "CHITA"
"9" 51 "UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DE ACUEDUCTO ALCANTARILLADO Y ASEO DE AQUITANIA" 8000775455 "2019460351700015E" 15047 "BOYACA" "AQUITANIA" "ACUEDUCTO,ALCANTARILLADO,ASEO" "FELIPE ABSALON CARDOZO MONTANA" "Carrera  6 No. 7-68" "usp@aquitania-boyaca.gov.co" "7794118" 7794315 3182704063 "MENOR O IGUAL A 2500 USUARIOS" "URBANO" "MUNICIPIO (PRESTACIÓN DIRECTA)" "MUNICIPAL" "0" "OFICIAL" "38355" "CAPTACION" "ADUCCION" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "TRATAMIENTO" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION Y TRANSPORTE DE RESIDUOS NO APROVECHABLES" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "0" "0" "0" "0" "0" "0" "43652" "Actualizacion" "CERTIFICADA" "SI" NA "AQUITANIA"
"10" 62 "EMPRESA MUNICIPAL DE SERVICIOS PUBLICOS EMPOSAN E.S.P." 9001278838 "2019460351700016E" 13650 "BOLIVAR" "SAN FERNANDO" "ACUEDUCTO,ALCANTARILLADO,ASEO" "YACELLY RANGEL SILVANO JOSE" "Calle Principal Diagonal a la Alcaldia" "emposanesp@hotmail.com" "6898574" 6606393 3215418814 "HASTA 2500 SUSCRIPTORES" "URBANO" "EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO" "MUNICIPAL" "0" "OFICIAL" "35797" "CAPTACION" "0" "TRATAMIENTO" "ALMACENAMIENTO" "CONDUCCION" "DISTRIBUCION" "COMERCIALIZACION" "RECOLECCION" "CONDUCCION DE RESIDUOS LIQUIDOS" "TRATAMIENTO" "DISPOSICION FINAL" "COMERCIALIZACION" "RECOLECCION" "BARRIDO Y LIMPIEZA DE VIAS Y AREAS PUBLICAS" "0" "0" "0" "DISPOSICION FINAL" "0" "0" "42434" "Actualizacion" "PENDIENTE DE REVISION" "SI" NA "SAN FERNANDO"
